day.s,site,stage,sex,mass_div_100,year,area,uid,lnCort
15.9,1,P,F,3.95,2021,coyote_crow,L1167,2.15
20.1,1,P,F,4.05,2021,log_1_crow,L1167,3.04
14.8,1,A,M,8.6,2014,A_area_crow,L130,3.98
17.9,0,A,M,7.8,2023,E_paradise,L1387,3.06
19.1,0,A,M,8.5,2023,E_paradise,L1387,3.24
17.2,0,A,M,7.75,2024,N_paradise,L1387,3.101299589
19.2,0,A,F,8.85,2023,playground_paradise,L1418,3.18
15.5,1,A,M,7,2024,darkside,L1448,3.937729738
19.1,0,A,F,6.9,2024,H_paradise,L1525,4.632532403
19.8,0,A,F,7.05,2024,G_paradise,L1525,3.11227009
15.8,1,P,F,2.85,2013,L_tree_crow,R001,4.62
15.6,1,P,M,2.8,2013,B_area_crow,R002_R287_L138,4.49
17.5,1,P,M,3.7,2013,B_area_crow,R002_R287_L138,3.58
15.6,1,A,M,7,2013,B_area_crow,R003_R122_L086,4.35
20.5,1,A,M,7.4,2013,E_tree_crow,R003_R122_L086,6.52
14.9,1,A,M,6.8,2014,K_tree_crow,R003_R122_L086,4.27
17.7,1,A,M,7.35,2014,K_tree_crow,R003_R122_L086,4.77
15.6,1,P,F,2.5,2013,coyote_crow,R004,4.28
15.6,1,A,M,7.3,2013,filthy_crow,R005,4.73
17.5,1,A,M,7.5,2013,oak_crow,R005,3.68
15.6,1,A,F,5.6,2013,filthy_crow,R006,3.76
16.4,1,A,F,5.6,2013,creek_crow,R006,4.82
15.6,1,P,M,2.64,2013,creek_crow,R007,4.01
17.7,1,P,M,3.5,2013,creek_crow,R007,4.2
15.6,1,P,M,3.26,2013,creek_crow,R008,3.9
16.4,1,P,M,4.05,2013,creek_crow,R008,4.74
17.5,1,P,M,4.45,2013,pine_crow,R008,3.21
15.6,1,A,F,5.8,2013,R_tree_crow,R009_L117,4.7
16.5,1,A,F,6.6,2013,creek_crow,R009_L117,4.22
17.5,1,A,F,7,2013,F_tree_crow,R009_L117,4.6
20.4,1,A,F,6.6,2013,K_tree_crow,R009_L117,6.04
14.8,1,A,F,6.5,2014,T_tree_crow,R009_L117,4.09
15.3,1,A,F,6.85,2014,A_area_crow,R009_L117,4.66
17.4,1,A,F,6.95,2014,A_area_crow,R009_L117,4.81
15.6,1,P,M,3.3,2013,log_3_crow,R010_L288,4.4
16.4,1,P,M,3.85,2013,creek_crow,R010_L288,4.44
17.5,1,P,M,4.4,2013,trash_trio_crow,R010_L288,3.47
14.8,1,A,M,7.1,2014,A_area_crow,R010_L288,3.72
15.3,1,A,M,9.8,2014,B_area_crow,R010_L288,4.57
15.6,1,P,M,3,2013,log_3_crow,R011,4.31
16.5,1,P,M,3.75,2013,creek_crow,R011,4.57
17.5,1,P,M,4.25,2013,L_tree_crow,R011,3.76
16.5,1,A,M,3.85,2013,creek_crow,R012,4.97
17.5,1,A,M,4.35,2013,log_3_crow,R012,3.4
20.3,1,A,M,6.3,2013,X_tree_crow,R012,3.88
15.6,1,A,F,6.5,2013,cedar_crow,R014,3.9
17.5,1,A,F,6.55,2013,cedar_crow,R014,3.91
20.3,1,A,F,6.95,2013,U_tree_crow,R014,5.64
14.8,1,A,F,6.35,2014,G_tree_crow,R014,3.11
17.5,1,A,F,7.35,2014,cedar_crow,R014,5.12
14.1,1,A,F,5.35,2015,pine_crow,R014,5.13
17,1,A,F,5.4,2015,creek_crow,R014,4.95
18,1,A,F,5.25,2015,creek_crow,R014,4.45
18.8,1,A,F,5.4,2015,N_tree_crow,R014,5.29
20.1,1,A,F,5.5,2015,P_tree_crow,R014,4.78
15.7,1,P,F,2.05,2013,donkey_crow,R015,3.94
17.7,1,P,F,2.25,2013,580_crow,R015,4.28
15.7,1,A,F,7,2013,S_tree_crow,R016_L109,4.31
20.3,1,A,F,7.55,2013,T_tree_crow,R016_L109,5.22
15.7,1,A,F,7.2,2013,log_2_crow,R017_L124,4.67
16.3,1,A,F,7.2,2013,coyote_crow,R017_L124,5.13
17.2,1,A,F,8.3,2013,log_1_crow,R017_L124,3.65
17.5,1,A,F,8.3,2013,log_1_crow,R017_L124,4.37
19.2,1,A,F,7.85,2013,creek_crow,R017_L124,4.54
19.6,1,A,F,7.85,2013,creek_crow,R017_L124,4.58
20.3,1,A,F,8.05,2013,log_3_crow,R017_L124,6.72
17.6,1,A,F,5.2,2014,log_1_crow,R017_L124,5.58
15.8,1,A,M,6.85,2013,S_tree_crow,R018_R062_L105,4.54
17.5,1,A,M,7.2,2013,R_tree_crow,R018_R062_L105,4.17
20.3,1,A,M,7.55,2013,S_tree_crow,R018_R062_L105,6.11
15.8,1,A,M,6.75,2013,log_2_crow,R019_L107,4.78
16.3,1,A,M,6.75,2013,coyote_crow,R019_L107,4.95
17.5,1,A,M,6.15,2013,log_2_crow,R019_L107,4.47
19.1,1,A,M,6.45,2013,creek_crow,R019_L107,4.62
20.3,1,A,M,6.55,2013,log_3_crow,R019_L107,6.95
14.8,1,A,M,6.3,2014,titantic_creek,R019_L107,4.28
15.8,1,A,F,6.5,2013,B_area_crow,R020,4.94
17.7,1,A,F,6.15,2013,B_area_crow,R020,4.32
20.3,1,A,F,5.8,2013,A_area_crow,R020,5.2
15.3,1,A,F,5.2,2014,B_area_crow,R020,5.04
17.4,1,A,F,6,2014,D_tree_crow,R020,4.88
14,1,A,F,5.05,2015,M_tree_crow,R020,4.6
17.3,1,A,F,4.85,2015,cheerio_tree_crow,R020,5.33
20.1,1,A,F,4.6,2015,J_tree_crow,R020,5.48
15.8,1,A,F,4.6,2013,T_tree_crow,R021,3.84
15.8,1,A,F,7.45,2013,W_tree_crow,R022,4.34
16.3,1,A,M,4.3,2013,coyote_crow,R023,4.11
17,1,A,M,4.65,2013,creek_crow,R023,4.2
17.8,1,A,M,4.7,2013,creek_crow,R023,3.75
20.3,1,A,M,6.9,2013,creek_crow,R023,6.41
16.2,0,A,M,9,2014,P_paradise,R023,4.43
16.3,1,P,F,2.1,2013,coyote_crow,R024,3.7
15.8,1,A,F,7.5,2013,filthy_crow,R025,4.21
16.3,1,A,F,7.6,2013,coyote_crow,R025,4.44
16.3,0,P,M,2.25,2013,coyote_crow,R026,4.79
16.4,1,P,F,2.35,2013,coyote_crow,R027,4.4
16.4,1,P,M,2.5,2013,coyote_crow,R028,4.34
17.1,0,P,M,2.8,2013,culvert_paradise,R028,3.88
17.5,1,P,M,3.3,2013,log_3_crow,R028,4.18
20.4,1,P,M,4.35,2013,log_1_crow,R028,6.1
16.9,0,P,F,2.7,2013,culvert_paradise,R029,3.75
16.5,1,A,F,3.6,2013,creek_crow,R030_L145,4.58
17.7,1,A,F,4.05,2013,log_3_crow,R030_L145,3.28
20.4,1,A,F,5.6,2013,log_3_crow,R030_L145,5.64
16.5,1,P,F,2.65,2013,coyote_crow,R032,4.79
16.5,1,A,F,6.25,2013,creek_crow,R033,5.04
17.5,1,A,F,6.6,2013,B_area_crow,R033,4.55
16.3,0,A,F,6.25,2013,N_paradise,R035_L141,4.9
17,0,A,F,7,2013,culvert_paradise,R035_L141,3.31
17.7,1,A,F,6.8,2013,log_3_crow,R035_L141,3.92
19.1,1,A,F,6.75,2013,coyote_crow,R035_L141,4.49
20.5,1,A,F,6.7,2013,log_1_crow,R035_L141,6.33
14.8,1,A,F,7.45,2014,titantic_creek,R035_L141,4.45
16.3,0,A,F,7.7,2013,coyote_crow,R036,4.33
17.8,1,A,F,8.1,2013,log_1_crow,R036,4.38
19.1,1,A,F,8.5,2013,Q_burrow_coyote,R036,4.53
14.9,1,A,F,8.5,2014,log_1_crow,R036,4.33
15.8,1,A,M,8.9,2013,pine_crow,R037,3.56
17.4,1,A,M,8.95,2015,oak_crow,R037,4.85
19,1,A,M,8.5,2015,oak_crow,R037,5.47
20.3,1,A,M,8.2,2015,oak_crow,R037,5.5
16.9,0,A,M,10,2013,culvert_paradise,R038_R406_L197,4.18
16.7,0,A,M,10.65,2014,W_paradise,R038_R406_L197,4.59
19.5,0,A,M,9.2,2015,G_paradise,R038_R406_L197,4.75
15.8,1,A,F,8.75,2013,E_tree_crow,R039,4.67
17.5,1,A,F,8.75,2013,B_area_crow,R039,3.04
15.3,1,A,F,7.55,2014,B_area_crow,R039,5
16.9,0,A,F,7.75,2013,island_paradise,R040,3.7
16.9,0,A,M,5.1,2013,culvert_paradise,R041,3.8
16.9,0,P,M,3.95,2013,culvert_paradise,R042,3.52
16.9,0,A,F,6.7,2013,culvert_paradise,R043,4.53
16.9,0,P,F,3.05,2013,island_paradise,R044_L073,6.11
17.2,0,P,F,3.4,2013,island_paradise,R044_L073,3.6
19.1,0,P,F,4.7,2013,I_burrow_coyote,R044_L073,4.22
19.6,0,P,F,4.3,2013,I_burrow_coyote,R044_L073,4.5
16.9,0,P,M,3.85,2013,boonies_paradise,R045_L101,3.78
19.6,0,P,M,3.9,2013,two_towers_paradise,R045_L101,4.41
16.9,0,P,F,2.65,2013,culvert_paradise,R046_R503_L113,4.11
19.2,0,P,F,3.65,2013,culvert_paradise,R046_R503_L113,4.2
16.9,0,A,F,6.4,2014,lennon_paradise,R046_R503_L113,4.35
19.6,0,A,F,6.65,2015,W_paradise,R046_R503_L113,4.43
16.6,0,A,F,7.3,2016,beach_paradise,R046_R503_L113,3.75
19,0,A,F,6.6,2016,W_paradise,R046_R503_L113,3.5
20.3,0,A,F,6.9,2016,playground_paradise,R046_R503_L113,4.32
16.9,0,P,F,3.65,2013,timon_and_pumba_paradise,R047_L089,4.63
18.9,0,P,F,4,2013,far_away_paradise,R047_L089,4.09
19.6,0,P,F,4.15,2013,timon_and_pumba_paradise,R047_L089,4.76
16.9,1,A,F,7.95,2013,coyote_crow,R048_L116,3.64
19.6,1,A,F,8.75,2013,coyote_crow,R048_L116,4.11
16.9,0,A,F,5.95,2013,far_east_paradise,R049,3.95
16.9,0,P,F,3,2013,timon_and_pumba_paradise,R051_L097,4.4
18.9,0,P,F,3.05,2013,timon_and_pumba_paradise,R051_L097,4.42
16.4,0,A,F,7.65,2014,theater_paradise,R051_L097,3.82
16.8,0,A,F,7.45,2015,N_paradise,R051_L097,4.15
18.3,0,A,F,6.9,2015,backstage_paradise,R051_L097,4.32
19.4,0,A,F,6.85,2015,backstage_paradise,R051_L097,4.3
17,0,P,M,3.85,2013,island_paradise,R052_L112,5.03
17,0,A,F,6.75,2013,two_towers_paradise,R053_L085,4.62
19.1,0,A,F,7,2013,two_towers_paradise,R053_L085,4.3
19.6,0,A,F,7.4,2013,far_out_paradise,R053_L085,4.17
17,0,P,F,3.85,2013,far_east_paradise,R054_L146,4.32
18.9,0,P,F,3.3,2013,far_east_paradise,R054_L146,4.32
18.8,0,A,F,8.8,2014,K_paradise,R054_L146,5.25
18,0,A,F,8.8,2015,F_paradise,R054_L146,4.83
19.6,0,A,F,8.5,2015,F_paradise,R054_L146,4.08
17,0,P,F,3.45,2013,far_away_paradise,R055,3.63
17,0,P,F,3.65,2013,culvert_paradise,R056,4.1
17,0,A,F,3.65,2013,soup_paradise,R057,3.42
19.2,0,A,F,5.35,2013,far_east_paradise,R057,4.1
19.6,0,A,F,4.95,2013,soup_paradise,R057,4.28
17.1,0,A,F,7.3,2013,far_away_paradise,R058_R409_L234,3.83
19,0,A,F,7.15,2013,hendrix_paradise,R058_R409_L234,4.43
16.9,0,A,F,6.9,2014,N_paradise,R058_R409_L234,5.28
18,0,A,F,6.95,2015,J_paradise,R058_R409_L234,4.64
19.7,0,A,F,7,2015,F_paradise,R058_R409_L234,4.74
17.1,0,P,M,3.4,2013,culvert_paradise,R059,3.75
17.7,1,A,M,7.4,2013,log_4_crow,R060,3.84
17.2,0,A,F,6.5,2013,timon_and_pumba_paradise,R061,2.83
17.2,0,A,F,8.7,2013,boonies_paradise,R063_L212,3.7
