day.s,sex,mass_div_100,stage,human_rate_scaled,dog_rate_scaled,lnCort,uid,area,year
21.1,M,5.45,A,0,0,4,R716,coyote_crow,2019
21.1,F,5.65,A,0,0,4.1,R717,coyote_crow,2019
21.1,M,7.4,A,0,0,3.8,R733,coyote_crow,2019
21.1,M,4.4,P,0,0,3.9,R958,coyote_crow,2019
21.1,F,2.7,P,0,0,3.3,R923,coyote_crow,2019
21.2,M,2.85,P,0,0,2.5,R903,coyote_crow,2019
21.2,M,4.95,P,0,0,2,R945,coyote_crow,2019
21.2,M,4.55,P,0,0,2.8,R844,coyote_crow,2019
16.7,F,7.05,A,0,0,3.3,R591,coyote_crow,2020
16.7,F,5.7,A,0,0,2.9,R1008,coyote_crow,2020
16.7,F,8.65,A,0,0,3.6,R745,coyote_crow,2020
16.7,M,7.95,A,0,0,3.3,R742,coyote_crow,2020
16.7,F,7.8,A,0,0,3.1,R597,coyote_crow,2020
18.3,F,3.5,P,0,0,3.2,R1009,coyote_crow,2020
18.3,F,3.2,P,0,0,2.5,R1016_R1261,coyote_crow,2020
19.5,M,8.3,A,0,0,3.7,R643,coyote_crow,2020
19.5,M,4.3,P,0,0,3.1,R1015,coyote_crow,2020
19.5,F,4.2,P,0,0,3,R1070,coyote_crow,2020
19.6,F,3.75,P,0,0,2.9,R1016_R1261,coyote_crow,2020
19.6,F,7.25,A,0,0,3,R597,coyote_crow,2020
20.2,M,4.45,P,0,0,3.2,R1064,coyote_crow,2020
20.2,M,6,A,0,0,3.3,R1062,coyote_crow,2020
20.2,F,6.55,A,0,0,3.3,R507_R573,coyote_crow,2020
20.3,F,7.25,A,0,0,2.5,R597,coyote_crow,2020
20.3,M,6.9,A,0,0,3.3,R1063,coyote_crow,2020
20.9,F,4.15,P,0,0,2.8,R1070,coyote_crow,2020
20.9,F,6.55,A,0,0,4.1,R591,coyote_crow,2020
20.9,M,8.3,A,0,0,3.5,R945,coyote_crow,2020
20.9,F,6.35,A,0,0,4.2,R741_R1232,coyote_crow,2020
20.9,M,5.25,P,0,0,3.7,R984_R1111_L1314,coyote_crow,2020
20.9,F,3.55,P,0,0,2.9,R1016_R1261,coyote_crow,2020
21,F,7.05,A,0,0,3.2,R597,coyote_crow,2020
21,M,4.35,P,0,0,2.7,R1064,coyote_crow,2020
15.9,M,5.06,A,0,0,3.4,R1163,coyote_crow,2021
15.9,M,5.1,A,0,0,3.2,R1107,coyote_crow,2021
15.9,F,3.95,P,0,0,2.2,L1167,coyote_crow,2021
16,M,5.75,A,0,0,3.6,R1097,coyote_crow,2021
16,M,4.1,A,0,0,3.4,R945,coyote_crow,2021
16,F,5.15,A,0,0,3.4,R1080,coyote_crow,2021
16,F,9,A,0,0,3,R696,coyote_crow,2021
16,F,5.7,A,0,0,3.3,R584,coyote_crow,2021
16,M,5.75,A,0,0,3.3,R1145,coyote_crow,2021
17.9,F,5.65,A,0,0,3.4,R1212,coyote_crow,2021
17.9,F,5.7,A,0,0,3,R1213,coyote_crow,2021
17.9,F,4.6,P,0,0,3.2,R1202,coyote_crow,2021
17.9,F,3.15,P,0,0,3,R1166,coyote_crow,2021
17.9,F,7.55,A,0,0,3.3,R597,coyote_crow,2021
18,M,9.35,A,0,0,4.1,R945,coyote_crow,2021
18,M,5.2,A,0,0,3.4,R1088,coyote_crow,2021
18,F,6.2,A,0,0,3.5,R1080,coyote_crow,2021
18,F,7.1,A,0,0,3.3,R867,coyote_crow,2021
18,M,3.9,P,0,0,3.4,R1216,coyote_crow,2021
18,F,5.4,A,0,0,2.4,R1165,coyote_crow,2021
18,F,6.8,A,0,0,3.9,R1102,coyote_crow,2021
18,M,5.85,A,0,0,3.2,R1163,coyote_crow,2021
18.1,F,6.8,A,0,0,3.1,R1069_L1403,coyote_crow,2021
18.1,M,3.05,P,0,0,3.4,R1084,coyote_crow,2021
18.1,M,5.35,P,0,0,2.9,R1173,coyote_crow,2021
20,F,6.65,A,0,0,3.4,R1080,coyote_crow,2021
20,F,7.2,A,0,0,3.7,R1151,coyote_crow,2021
20.1,F,7.15,P,0,0,3,R1089,coyote_crow,2021
20.7,F,6.2,A,0,0,3,R1126,coyote_crow,2021
20.7,F,7.05,A,0,0,3.3,R1208,coyote_crow,2021
20.7,F,7.9,A,0,0,3.6,R597,coyote_crow,2021
20.7,M,5.75,A,0,0,3.1,R1246,coyote_crow,2021
16.4,M,7.55,A,0,0,2.5,R1254,coyote_crow,2023
13.8,F,7.5,A,0.05,0,4,R1136,F_tree_crow,2023
14.2,F,7.3,A,0.05,0,4.7,R1331,F_tree_crow,2023
13.7,F,6.4,A,0.077,0.034,4.9,R150_R751_L230,W_tree_crow,2018
13.7,F,6.7,A,0.077,0.034,4.5,R476_R580,W_tree_crow,2018
14.1,F,3.5,P,0.077,0.034,4.8,R724,W_tree_crow,2018
14.2,F,6.75,A,0.077,0.034,4.3,R476_R580,W_tree_crow,2018
14.3,F,6.7,A,0.077,0.034,4.3,R306,W_tree_crow,2018
15.5,F,7.3,A,0.077,0.034,4.5,R316,W_tree_crow,2018
17,F,9.55,A,0.077,0.034,4.7,R486_R650,W_tree_crow,2018
17,F,3.65,P,0.077,0.034,3.6,R753,W_tree_crow,2018
17.1,F,8.2,A,0.077,0.034,2.9,R476_R580,W_tree_crow,2018
17.1,F,5.95,A,0.077,0.034,2.9,R353,W_tree_crow,2018
19.2,F,7.8,A,0.077,0.034,2.8,R599,W_tree_crow,2018
20.4,M,4.45,P,0.077,0.034,3.7,R730,W_tree_crow,2018
20.4,M,7.1,A,0.077,0.034,3.4,R593,W_tree_crow,2018
20.5,F,7.45,A,0.077,0.034,3.7,R599,W_tree_crow,2018
15.1,M,8.7,A,0.143,0.037,2.7,R1121,log_5_crow,2022
15.1,F,6.45,A,0.143,0.037,3.2,R696,log_5_crow,2022
7.8,F,5.7,A,0.083,0.043,4.3,R316,W_tree_crow,2019
14.2,F,5.25,A,0.083,0.043,4.3,R741_R1232,W_tree_crow,2019
14.2,F,6.05,A,0.083,0.043,4.6,R518_L560,W_tree_crow,2019
14.2,F,6.7,A,0.083,0.043,4.1,R306,W_tree_crow,2019
14.8,F,5.4,A,0.083,0.043,4.5,R476_R580,W_tree_crow,2019
