record,movement_type,natal_site,year,colony,dispersal_status,site,disturbance,study_site,area,Date,Time,Month,Week,day,day.s,hour,mark,uid,first_capture_wk,2nd_capture_wk,New_squirrel,mass,mass_div_100,sex,stage,min_age_master,repro,ag_dist,left_hf,mass_lhf,mass_lhf,beh_poop,beh_chat,beh_call,beh_strg,behav_wlk_bag,poop_coll,cort_fecal_ID,dry_mass,conc_pg_ml,conc_ng_g_div50,lnCort,trap_effect
92,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,culvert_paradise,6/20/2013,11:26,JUN,25,171,17.1,11,top_hat,R028,1,0,0,280,2.8,M,P,0,1,20,33,8.5,2.1,1,1,1,0,1,1,87,0.321,2419,48.38,3.88,
35,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,N_paradise,6/12/2013,9:25,JUN,24,163,16.3,9,triple_blot_diagonal,R035_L141,1,0,1,625,6.25,F,A,1,5,12.1,35.6,17.6,4.4,1,0,1,1,1,1,33,0.289,6684,133.68,4.9,
82,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,culvert_paradise,6/19/2013,11:20,JUN,25,170,17,11,triple_blot_diagonal,R035_L141,1,0,0,700,7,F,A,1,5,12.45,34.95,20,5,1,0,0,1,1,1,78,1.546,1365,27.3,3.31,
111,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,island_paradise,6/21/2013,12:31,JUN,25,172,17.2,12,upside_down_A_easter_egg,R064_L068,1,0,1,715,7.15,F,A,1,4,10.6,32.5,22,5.5,0,1,1,1,1,1,106,0.797,683,13.66,2.61,
153,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,island_paradise,6/26/2013,11:17,JUN,26,177,17.7,11,upside_down_A_easter_egg,R064_L068,1,0,0,670,6.7,F,A,1,4,10.6,34.2,19.6,4.9,0,0,1,1,1,1,139,1.182,2227,44.54,3.8,
183,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,island_paradise,7/9/2013,13:01,JUL,28,190,19,13,upside_down_A_easter_egg,R064_L068,1,0,0,720,7.2,F,A,1,4,10.8,35.5,20.3,5.1,0,0,1,0,1,1,165,0.489,3546,70.92,4.26,
99,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,culvert_paradise,6/20/2013,14:06,JUN,25,171,17.1,14,cinnamon_bun,R069,1,0,1,680,6.8,F,A,1,5,11,31.1,21.9,5.5,1,0,0,1,1,1,94,0.602,1546,30.92,3.43,
179,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,culvert_paradise,7/8/2013,13:21,JUL,28,189,18.9,13,river,R079,1,0,1,490,4.9,M,P,1,2,21.4,37.9,12.9,3.2,0,0,1,1,0,1,161,0.231,4247,84.94,4.44,
109,dispersal,low disturbance,2013,Paradise,before,0,Less disturbed,0,island_paradise,6/21/2013,11:52,JUN,25,172,17.2,11,cookie,R099_R208_L223,1,0,1,845,8.45,F,A,1,5,9.1,32.3,26.2,6.5,0,1,0,1,0,1,104,1.129,1613,32.26,3.47,
7324,dispersal,low disturbance,2021,Paradise,before,0,Less disturbed,0,upper_runway_paradise,6/7/2021,13:34,JUN,23,158,15.8,13,goldfish,R1157,1,0,1,365,3.65,F,P,0,3,8.42,30.8,11.9,3,0,1,0,1,1,1,159,0.4875,1268.909346,25.37818691,3.23,
7353,dispersal,low disturbance,2021,Paradise,before,0,Less disturbed,0,U_paradise,6/8/2021,13:20,JUN,23,159,15.9,13,two_dice_dots,R1166,1,0,1,230,2.3,F,P,0,3,7.31,29.42,7.8,2,1,0,0,0,1,1,181,0.5833,1535.92417,30.71848339,3.42,
7333,dispersal,low disturbance,2021,Paradise,before,0,Less disturbed,0,H_paradise,6/8/2021,10:14,JUN,23,159,15.9,10,Cj,R1173,1,0,1,415,4.15,M,P,0,1,29.95,35.63,11.6,2.9,0,0,0,0,0,1,168,0.3812,821.7531502,16.435063,2.8,
7686,dispersal,low disturbance,2021,Paradise,before,0,Less disturbed,0,upper_runway_paradise,6/30/2021,11:48,JUN,26,181,18.1,11,wiggle,R1219,1,0,1,470,4.7,F,A,1,3,8.32,31.67,14.8,3.7,0,1,0,1,1,1,377,0.7544,684.8465728,13.69693146,2.62,
9044,dispersal,low disturbance,2023,Paradise,before,0,Less disturbed,0,E_paradise,6/13/2023,10:12,JUN,24,164,16.4,10,blue_bell,R1366,1,,,605,6.05,F,A,1,4,7.14,33.63,18,4.5,0,0,0,0,1,1,146,2.673,1641.1,32.822,3.49,
9135,dispersal,low disturbance,2023,Paradise,before,0,Less disturbed,0,lower_runway_paradise,6/27/2023,10:56,JUN,26,178,17.8,10,blue_bell,R1366,1,,,575,5.75,F,A,1,4,6.3,34.26,16.8,4.2,0,0,0,0,1,1,210,1.2895,2401.752327,48.03504653,3.87,
